YY  MM DD hhmm     LAT      LON WDIR WSPD GST   PRES   ATMP  WTMP  DEWP  WVHT  DPD
2022 08 27 2030   25.93   -89.77  69  2.9  3.4 1012.8   26.4  29.9  22.8   0.5    3
2022 08 27 2130   25.92   -89.78  80  2.0  2.2 1012.6   26.8  29.9  23.3   0.5    4
2022 08 27 2230   25.92   -89.79  77  3.2  3.8 1012.5   27.0  30.0  23.2   0.4    4
2022 08 27 2330   25.91   -89.80  93  3.0  3.8 1012.7   27.4  29.9  23.2   0.5    4
2022 08 28 0030   25.92   -89.81 109  3.4  3.8 1012.6   27.6  29.9  23.9   0.4    4
2022 08 28 0130   25.92   -89.81 107  4.7  5.7 1012.5   28.1  30.0  24.2   0.3    4
2022 08 28 0230   25.92   -89.81  94  4.6  5.0 1012.8   28.3  30.1  24.4   0.3    4
2022 08 28 0330   25.93   -89.82 111  5.4  5.8 1013.1   28.6  29.9  23.9   0.3    4
2022 08 28 0430   25.93   -89.82 124  5.1  5.8 1013.2   28.7  29.8  23.7   0.3    4
2022 08 28 0530   25.93   -89.82 113  6.4  7.1 1013.0   28.6  30.0  25.0   0.3    4
2022 08 28 0630   25.93   -89.82 108  5.5  6.2 1012.5   28.7  30.1  25.6   0.4    4
2022 08 28 0730   25.93   -89.83 115  6.2  7.0 1012.1   28.8  30.0  25.4   0.4    2
2022 08 28 0830   25.93   -89.83 112  6.3  6.7 1012.1   28.8  30.0  25.2   0.4    2
2022 08 28 0930   25.93   -89.83 123  4.9  5.3 1012.3   28.8  30.0  25.0   0.4    5
2022 08 28 1030   25.93   -89.83 128  6.1  6.5 1012.3   28.9  30.0  25.3   0.4    4
2022 08 28 1130   25.94   -89.83 117  6.9  7.6 1012.4   28.9  30.0  25.5   0.4    5
